prefix,lat,lon,dxcc,iso3,name
4M7,10.67,-63.22,148,VEN,Venezuela
4M8,8.37,-62.62,148,VEN,Venezuela
4M9,7.9,-67.47,148,VEN,Venezuela
4O,42.5,19.28,514,MNE,Montenegro
4P,7.6,80.7,315,LKA,Sri Lanka
4T,-10.0,-76.0,136,PER,Peru
4U,42.82,12.58,248,ITA,Italy
4U0ITU,46.17,6.05,117,CHE,ITU HQ (Geneva)
4U0R,47.33,13.33,206,AUT,Austria
4U1A,47.33,13.33,206,AUT,Austria
4U1ITU,46.17,6.05,117,CHE,ITU HQ (Geneva)
4U1UN,40.75,-73.97,289,USA,United Nations HQ (New York)
4U1WRC,46.17,6.05,117,CHE,ITU HQ (Geneva)
4U2U,47.33,13.33,206,AUT,Austria
4V,19.02,-72.18,78,HTI,Haiti
4W,-8.8,126.05,511,TLS,Timor-Leste
4X,31.32,34.82,336,ISR,Israel
4Y1A,47.33,13.33,206,AUT,Austria
5A,27.2,16.6,436,LBY,Libya
5B,35.0,33.0,215,CYP,Cyprus
5C,32.0,-5.0,446,MAR,Morocco
5H,-5.75,33.92,470,TZA,Tanzania
5H1,-6.13,39.32,470,TZA,Tanzania
5I1,-6.13,39.32,470,TZA,Tanzania
5J,5.0,-74.0,116,COL,Colombia
5J0,12.55,-81.72,216,COL,San Andres & Providencia
5J1,10.4,-75.5,116,COL,Colombia
5J2,10.52,-73.27,116,COL,Colombia
5J3,4.7,-74.13,116,COL,Colombia
5J4,6.25,-75.6,116,COL,Colombia
5J5,3.9,-77.02,116,COL,Colombia
5J6,4.77,-75.77,116,COL,Colombia
5J7,7.12,-73.17,116,COL,Colombia
5J8,1.2,-77.27,116,COL,Colombia
5J9,7.07,-73.1,116,COL,Colombia
5K0,12.55,-81.72,216,COL,San Andres & Providencia
5K1,10.4,-75.5,116,COL,Colombia
5K2,10.52,-73.27,116,COL,Colombia
5K3,4.7,-74.13,116,COL,Colombia
5K4,6.25,-75.6,116,COL,Colombia
5K5,3.9,-77.02,116,COL,Colombia
5K6,4.77,-75.77,116,COL,Colombia
5K7,7.12,-73.17,116,COL,Colombia
5K8,1.2,-77.27,116,COL,Colombia
5K9,7.07,-73.1,116,COL,Colombia
5L,6.5,-9.5,434,LBR,Liberia
5N,9.87,7.55,450,NGA,Nigeria
5P,56.0,10.0,221,DNK,Denmark
